[1] Improvement: 4415.95527385411	Time (s): 0.1946
[2] Improvement: 47.90690249296313	Time (s): 0.1906
[3] Improvement: 47.904696018304094	Time (s): 0.2002
[4] Improvement: 53.7476568618149	Time (s): 0.1913
[5] Improvement: 63.045371436630376	Time (s): 0.1917
[6] Improvement: 76.38754163542762	Time (s): 0.1936
[7] Improvement: 96.23037732379453	Time (s): 0.1904
[8] Improvement: 126.5479037072655	Time (s): 0.1733
[9] Improvement: 174.4697361694416	Time (s): 0.1963
[10] Improvement: 251.93889271569788	Time (s): 0.1964
[11] Improvement: 372.59185523695487	Time (s): 0.2026
[12] Improvement: 540.7669597462664	Time (s): 0.1967
[13] Improvement: 747.7433240530372	Time (s): 0.1936
[14] Improvement: 993.8825082270487	Time (s): 0.1929
[15] Improvement: 1283.8898200287367	Time (s): 0.1939
[16] Improvement: 1582.2997581412055	Time (s): 0.1876
[17] Improvement: 1825.2567768173176	Time (s): 0.1917
[18] Improvement: 1942.7408807171669	Time (s): 0.1858
[19] Improvement: 1968.5409207363919	Time (s): 0.1618
[20] Improvement: 2080.328999656289	Time (s): 0.1902
[21] Improvement: 2075.81712250055	Time (s): 0.189
[22] Improvement: 1641.858250695288	Time (s): 0.1887
[23] Improvement: 1111.1320180282128	Time (s): 0.1877
[24] Improvement: 734.4944511126305	Time (s): 0.1855
[25] Improvement: 467.07595762026176	Time (s): 0.1802
[26] Improvement: 324.67874190260045	Time (s): 0.1839
[27] Improvement: 268.1783708509538	Time (s): 0.1788
[28] Improvement: 219.00158015419584	Time (s): 0.1776
[29] Improvement: 164.65895325969905	Time (s): 0.1705
[30] Improvement: 125.02774341472104	Time (s): 0.1689
[31] Improvement: 124.73307637518883	Time (s): 0.1679
[32] Improvement: 129.04868099447776	Time (s): 0.1581
[33] Improvement: 105.04049962847785	Time (s): 0.1611
[34] Improvement: 101.44995293240936	Time (s): 0.1253
[35] Improvement: 87.68001893539622	Time (s): 0.1487
[36] Improvement: 50.45148206996237	Time (s): 0.1536
[37] Improvement: 49.95278946180042	Time (s): 0.1509
[38] Improvement: 60.26719162531663	Time (s): 0.1531
[39] Improvement: 49.70543938985065	Time (s): 0.1528
[40] Improvement: 31.60919823457516	Time (s): 0.1511
[41] Improvement: 23.673063023336	Time (s): 0.1298
[42] Improvement: 24.559508975267818	Time (s): 0.1483
[43] Improvement: 26.23251386807533	Time (s): 0.1463
[44] Improvement: 26.659023012238322	Time (s): 0.1545
[45] Improvement: 30.070641283331497	Time (s): 0.1387
[46] Improvement: 29.567418996040942	Time (s): 0.142
[47] Improvement: 24.866340163032874	Time (s): 0.1405
[48] Improvement: 24.36208532861201	Time (s): 0.1086
[49] Improvement: 29.254391214351926	Time (s): 0.1422
[50] Improvement: 27.232236723881215	Time (s): 0.1219
[51] Improvement: 32.54084629958379	Time (s): 0.1403
[52] Improvement: 42.966816228632524	Time (s): 0.1429
[53] Improvement: 40.16535510461836	Time (s): 0.144
[54] Improvement: 18.70944232839247	Time (s): 0.1433
[55] Improvement: 5.50889530852146	Time (s): 0.1453
[56] Improvement: 1.7232367167453049	Time (s): 0.152
[57] Improvement: 0.7096788066555746	Time (s): 0.1224
[58] Improvement: 0.4951942755651544	Time (s): 0.1454
[59] Improvement: 0.4535969202479464	Time (s): 0.1305
[60] Improvement: 0.459045662326389	Time (s): 0.1418
[61] Improvement: 0.4757418432927807	Time (s): 0.1262
[62] Improvement: 0.5054793410454295	Time (s): 0.1293
[63] Improvement: 0.5850732346152654	Time (s): 0.1353
[64] Improvement: 0.7946095457300544	Time (s): 0.1419
[65] Improvement: 1.3584136347853928	Time (s): 0.1416
[66] Improvement: 3.158876818837598	Time (s): 0.1365
[67] Improvement: 10.700556254458206	Time (s): 0.1393
[68] Improvement: 48.83506979997037	Time (s): 0.1399
[69] Improvement: 136.6781111134478	Time (s): 0.149
