model_type,test_score,total_time,dataset,average_mismatches,valid_score,train_score,num_params,exit_code,name
rnn,39.04125,327.3342242240906,synthetic_unimodal_data_length_100_gaussian,9.658,39.180859375,36.7854921875,84820,0,rnn_hidden_size_100_lr_0.003
rnn,38.91316796875,533.5075256824493,synthetic_unimodal_data_length_100_gaussian,9.039,39.0801640625,36.26780859375,84820,0,rnn_hidden_size_100_lr_0.001
rnn,38.88328515625,1073.66113615036,synthetic_unimodal_data_length_100_gaussian,10.898,39.1128515625,36.50153125,84820,0,rnn_hidden_size_100_lr_0.0003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rnn,39.30494140625,261.89519786834717,synthetic_unimodal_data_length_100_gaussian,12.492,39.44443359375,36.777390625,329620,0,rnn_hidden_size_200_lr_0.003
rnn,38.89316015625,339.15113282203674,synthetic_unimodal_data_length_100_gaussian,10.791,39.0598203125,36.75391796875,329620,0,rnn_hidden_size_200_lr_0.001
rnn,38.821890625,684.4047520160675,synthetic_unimodal_data_length_100_gaussian,10.848,38.9877109375,36.3795703125,329620,0,rnn_hidden_size_200_lr_0.0003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rnn,36.26272265625,381.4932954311371,synthetic_unimodal_data_length_100_skewed_gaussian,8.086,35.98364453125,33.64822265625,84820,0,rnn_hidden_size_100_lr_0.003
rnn,36.12930859375,472.18461632728577,synthetic_unimodal_data_length_100_skewed_gaussian,10.021,35.8470078125,34.32986328125,84820,0,rnn_hidden_size_100_lr_0.001
rnn,36.18381640625,970.5406091213226,synthetic_unimodal_data_length_100_skewed_gaussian,10.314,35.86955078125,34.202328125,84820,0,rnn_hidden_size_100_lr_0.0003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rnn,36.36787109375,285.20378279685974,synthetic_unimodal_data_length_100_skewed_gaussian,9.451,36.07062890625,33.860328125,329620,0,rnn_hidden_size_200_lr_0.003
rnn,36.14109375,356.9741942882538,synthetic_unimodal_data_length_100_skewed_gaussian,8.049,35.92397265625,33.882578125,329620,0,rnn_hidden_size_200_lr_0.001
rnn,36.1680859375,641.7261030673981,synthetic_unimodal_data_length_100_skewed_gaussian,10.217,35.86456640625,33.5645859375,329620,0,rnn_hidden_size_200_lr_0.0003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rnn,38.3661484375,378.03433108329773,synthetic_unimodal_data_length_100_uniform,9.599,38.2994453125,35.92352734375,84820,0,rnn_hidden_size_100_lr_0.003
rnn,38.18502734375,470.0502276420593,synthetic_unimodal_data_length_100_uniform,10.427,38.29489453125,36.404875,84820,0,rnn_hidden_size_100_lr_0.001
rnn,38.25851171875,926.744784116745,synthetic_unimodal_data_length_100_uniform,11.667,38.30759765625,36.67516796875,84820,0,rnn_hidden_size_100_lr_0.0003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rnn,38.522609375,274.48043179512024,synthetic_unimodal_data_length_100_uniform,10.642,38.59184765625,36.21941015625,329620,0,rnn_hidden_size_200_lr_0.003
