model_type,test_score,total_time,dataset,average_mismatches,valid_score,train_score,num_params,exit_code,name
vae,"(68.35424041748047, 61.6515007019043, 6.702740669250488)",9.659099817276001,synthetic_unimodal_data_length_100_gaussian,80.339,"(58.3809700012207, 51.70792770385742, 6.673038005828857)","(26.809057235717773, 19.86695098876953, 6.9421067237854)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(57.8553352355957, 45.980865478515625, 11.874468803405762)",12.780394554138184,synthetic_unimodal_data_length_100_gaussian,88.754,"(58.6595573425293, 46.81338882446289, 11.846170425415039)","(34.55351638793945, 22.01494026184082, 12.53857707977295)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(66.87678527832031, 47.289581298828125, 19.587202072143555)",14.222854852676392,synthetic_unimodal_data_length_100_gaussian,91.11,"(69.76795196533203, 50.244808197021484, 19.523143768310547)","(48.17387008666992, 27.206308364868164, 20.96756362915039)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(60.16718292236328, 52.9935302734375, 7.173649787902832)",10.529569149017334,synthetic_unimodal_data_length_100_gaussian,79.046,"(61.909786224365234, 54.761512756347656, 7.1482744216918945)","(26.634780883789062, 19.188077926635742, 7.4467034339904785)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(57.135345458984375, 47.162681579589844, 9.972662925720215)",14.834137916564941,synthetic_unimodal_data_length_100_gaussian,87.017,"(58.76644515991211, 48.831085205078125, 9.935355186462402)","(32.315895080566406, 21.660730361938477, 10.65516471862793)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vae,"(62.02738571166992, 54.540321350097656, 7.48706579208374)",10.809704303741455,synthetic_unimodal_data_length_100_gaussian,82.538,"(62.0424690246582, 54.586822509765625, 7.455643653869629)","(32.387123107910156, 24.461565017700195, 7.925558567047119)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(56.33585739135742, 48.98086929321289, 7.354991436004639)",15.294593334197998,synthetic_unimodal_data_length_100_gaussian,81.514,"(57.911537170410156, 50.56404113769531, 7.347497463226318)","(29.4649600982666, 21.657339096069336, 7.807620525360107)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vae,"(65.26195526123047, 60.72867965698242, 4.533278942108154)",12.604283571243286,synthetic_unimodal_data_length_100_gaussian,72.988,"(60.6478385925293, 56.113525390625, 4.534315586090088)","(25.24422264099121, 20.64435386657715, 4.5998687744140625)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vae,"(51.75297927856445, 45.8849983215332, 5.867980480194092)",12.049819231033325,synthetic_unimodal_data_length_100_skewed_gaussian,79.598,"(47.14971160888672, 41.24906539916992, 5.900643825531006)","(25.482778549194336, 19.49054527282715, 5.992234230041504)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(57.6806755065918, 46.51163864135742, 11.169041633605957)",14.050745010375977,synthetic_unimodal_data_length_100_skewed_gaussian,87.973,"(50.70705032348633, 39.557472229003906, 11.149577140808105)","(31.545150756835938, 19.733022689819336, 11.812127113342285)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(63.41555404663086, 43.12661361694336, 20.288938522338867)",15.411954164505005,synthetic_unimodal_data_length_100_skewed_gaussian,91.876,"(62.554603576660156, 41.9365234375, 20.61808204650879)","(47.60072708129883, 25.84563636779785, 21.75509262084961)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(49.57859802246094, 43.190704345703125, 6.387893199920654)",11.718921661376953,synthetic_unimodal_data_length_100_skewed_gaussian,79.095,"(46.29480743408203, 39.85850143432617, 6.43630838394165)","(25.747089385986328, 19.16708755493164, 6.580000400543213)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(52.92938232421875, 41.90220260620117, 11.027181625366211)",15.424472570419312,synthetic_unimodal_data_length_100_skewed_gaussian,87.639,"(50.71903610229492, 39.6088981628418, 11.110136985778809)","(35.56547164916992, 23.958864212036133, 11.606608390808105)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vae,"(57.331146240234375, 52.773006439208984, 4.558140754699707)",12.982864141464233,synthetic_unimodal_data_length_100_skewed_gaussian,71.457,"(48.934268951416016, 44.3558464050293, 4.578420162200928)","(21.731046676635742, 17.09935760498047, 4.631688594818115)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(50.7495002746582, 42.90626525878906, 7.843234539031982)",15.579101085662842,synthetic_unimodal_data_length_100_skewed_gaussian,83.403,"(48.002201080322266, 40.07900619506836, 7.923196315765381)","(26.39230728149414, 18.028337478637695, 8.363968849182129)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vae,"(49.73183059692383, 45.755149841308594, 3.9766831398010254)",12.865713596343994,synthetic_unimodal_data_length_100_skewed_gaussian,75.284,"(51.57550048828125, 47.58446502685547, 3.9910366535186768)","(37.500667572021484, 33.50027084350586, 4.000400066375732)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vae,"(59.53864669799805, 53.25704574584961, 6.281602382659912)",10.651509761810303,synthetic_unimodal_data_length_100_uniform,78.414,"(39.270084381103516, 32.74923324584961, 6.520853519439697)","(25.848678588867188, 19.434329986572266, 6.414349555969238)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(58.347381591796875, 50.30562973022461, 8.041754722595215)",14.972030401229858,synthetic_unimodal_data_length_100_uniform,83.841,"(40.257179260253906, 31.956497192382812, 8.300681114196777)","(29.59185791015625, 21.50963592529297, 8.082221984863281)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(67.1212387084961, 46.820899963378906, 20.300338745117188)",15.61980676651001,synthetic_unimodal_data_length_100_uniform,90.562,"(53.78084945678711, 32.72428894042969, 21.056562423706055)","(48.456298828125, 27.012968063354492, 21.44333267211914)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(64.35652923583984, 57.91875076293945, 6.437779426574707)",11.936920642852783,synthetic_unimodal_data_length_100_uniform,78.25,"(41.503597259521484, 34.83819580078125, 6.665400981903076)","(30.5752010345459, 24.036069869995117, 6.539132118225098)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(60.797157287597656, 51.05778121948242, 9.739374160766602)",16.630897760391235,synthetic_unimodal_data_length_100_uniform,85.635,"(40.916622161865234, 30.702680587768555, 10.213942527770996)","(32.17212677001953, 21.908525466918945, 10.26360034942627)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vae,"(56.492431640625, 51.461219787597656, 5.031210899353027)",12.93576693534851,synthetic_unimodal_data_length_100_uniform,74.33,"(38.4759635925293, 33.28937530517578, 5.186587333679199)","(30.121017456054688, 24.896989822387695, 5.22402811050415)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(59.14796829223633, 52.401702880859375, 6.7462639808654785)",15.755522966384888,synthetic_unimodal_data_length_100_uniform,84.008,"(40.74044418334961, 33.68685531616211, 7.053584575653076)","(31.359607696533203, 24.30670738220215, 7.052897930145264)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vae,"(59.92921829223633, 53.61748123168945, 6.311734676361084)",13.597718000411987,synthetic_unimodal_data_length_100_uniform,78.333,"(40.78647994995117, 34.265377044677734, 6.5211076736450195)","(25.660802841186523, 19.065093994140625, 6.595710754394531)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vae,"(37.887550354003906, 35.57598876953125, 2.311561346054077)",5.489924430847168,synthetic_unimodal_data_length_20_gaussian,16.396,"(33.41923141479492, 30.832815170288086, 2.5864179134368896)","(18.95505142211914, 15.545722961425781, 3.4093284606933594)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(40.01186752319336, 37.29804611206055, 2.7138237953186035)",4.908250570297241,synthetic_unimodal_data_length_20_gaussian,17.071,"(32.60842514038086, 29.437137603759766, 3.171288013458252)","(20.293319702148438, 16.156564712524414, 4.136755466461182)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(40.11359786987305, 34.88749313354492, 5.226104259490967)",4.599559545516968,synthetic_unimodal_data_length_20_gaussian,18.093,"(37.80955123901367, 32.09654235839844, 5.713008403778076)","(31.023193359375, 23.43558120727539, 7.587611675262451)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(38.963993072509766, 36.16594314575195, 2.7980496883392334)",5.94273829460144,synthetic_unimodal_data_length_20_gaussian,16.679,"(34.60251998901367, 31.31422233581543, 3.2883002758026123)","(19.840723037719727, 15.363861083984375, 4.476861476898193)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(37.93278121948242, 34.76266098022461, 3.170123815536499)",4.392359018325806,synthetic_unimodal_data_length_20_gaussian,17.043,"(34.098724365234375, 30.4443359375, 3.654388427734375)","(21.218107223510742, 16.573381423950195, 4.644725322723389)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(42.095211029052734, 36.14976119995117, 5.945449352264404)",4.962181806564331,synthetic_unimodal_data_length_20_gaussian,18.206,"(38.53505325317383, 31.91653823852539, 6.618515968322754)","(31.63038444519043, 23.078834533691406, 8.551547050476074)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.0003
vae,"(40.39791488647461, 37.58595657348633, 2.8119561672210693)",4.380223989486694,synthetic_unimodal_data_length_20_gaussian,16.912,"(33.371543884277344, 30.236515045166016, 3.13502836227417)","(20.618173599243164, 16.264007568359375, 4.354165077209473)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(39.144901275634766, 36.009151458740234, 3.1357479095458984)",4.806138277053833,synthetic_unimodal_data_length_20_gaussian,16.729,"(33.62386703491211, 29.77571678161621, 3.848148822784424)","(20.040964126586914, 14.990365982055664, 5.050599098205566)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(40.59682846069336, 36.1091423034668, 4.487683296203613)",5.293360471725464,synthetic_unimodal_data_length_20_gaussian,17.804,"(35.7243537902832, 30.668624877929688, 5.055728912353516)","(25.3923282623291, 18.779356002807617, 6.612971782684326)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(38.21684646606445, 36.216609954833984, 2.000234603881836)",4.8093931674957275,synthetic_unimodal_data_length_20_gaussian,16.447,"(38.847103118896484, 36.66097640991211, 2.186124086380005)","(23.644588470458984, 20.669057846069336, 2.9755313396453857)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(40.14640426635742, 37.33055877685547, 2.8158459663391113)",5.196761846542358,synthetic_unimodal_data_length_20_gaussian,16.95,"(32.41421127319336, 29.114715576171875, 3.2994942665100098)","(23.0456600189209, 18.82009506225586, 4.225566864013672)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(39.45632553100586, 36.09780502319336, 3.3585243225097656)",5.746082544326782,synthetic_unimodal_data_length_20_gaussian,17.22,"(33.28445053100586, 29.604944229125977, 3.6795082092285156)","(20.653242111206055, 15.579643249511719, 5.073596954345703)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(36.07607650756836, 33.75410461425781, 2.321972608566284)",4.494807243347168,synthetic_unimodal_data_length_20_skewed_gaussian,16.733,"(32.072261810302734, 29.593982696533203, 2.4782798290252686)","(24.882709503173828, 21.709980010986328, 3.1727302074432373)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(36.61420822143555, 33.665096282958984, 2.949108600616455)",4.707446575164795,synthetic_unimodal_data_length_20_skewed_gaussian,16.854,"(34.345829010009766, 31.240476608276367, 3.1053528785705566)","(22.73136329650879, 18.76117515563965, 3.970189332962036)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(40.321346282958984, 34.91386795043945, 5.407477855682373)",5.108675241470337,synthetic_unimodal_data_length_20_skewed_gaussian,18.187,"(38.936256408691406, 33.23551559448242, 5.700740814208984)","(29.269956588745117, 22.183692932128906, 7.086261749267578)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(36.010894775390625, 32.697330474853516, 3.3135666847229004)",4.64530873298645,synthetic_unimodal_data_length_20_skewed_gaussian,16.458,"(35.90381622314453, 32.614131927490234, 3.2896840572357178)","(22.24091339111328, 17.95826530456543, 4.282648086547852)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(34.64663314819336, 31.505643844604492, 3.140989303588867)",4.460238456726074,synthetic_unimodal_data_length_20_skewed_gaussian,16.984,"(34.96091842651367, 31.72147560119629, 3.2394440174102783)","(22.163938522338867, 18.04507827758789, 4.118861198425293)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(38.28044891357422, 32.93284225463867, 5.347607612609863)",5.112968921661377,synthetic_unimodal_data_length_20_skewed_gaussian,18.196,"(37.84261703491211, 32.26556396484375, 5.577052593231201)","(29.379812240600586, 22.53395652770996, 6.845855236053467)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.0003
vae,"(38.40327072143555, 36.03226852416992, 2.3709981441497803)",4.562560558319092,synthetic_unimodal_data_length_20_skewed_gaussian,16.544,"(33.071746826171875, 30.469924926757812, 2.601823091506958)","(24.17151641845703, 20.781890869140625, 3.3896255493164062)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(35.52631378173828, 32.50663375854492, 3.0196774005889893)",5.087532043457031,synthetic_unimodal_data_length_20_skewed_gaussian,16.087,"(35.071956634521484, 32.07754135131836, 2.9944138526916504)","(20.545270919799805, 16.5430965423584, 4.0021748542785645)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(35.03422927856445, 30.706003189086914, 4.328224182128906)",5.310696601867676,synthetic_unimodal_data_length_20_skewed_gaussian,17.603,"(37.230201721191406, 32.75209426879883, 4.4781084060668945)","(25.576814651489258, 19.78151512145996, 5.795300483703613)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(37.55970764160156, 34.10234832763672, 3.4573609828948975)",4.550017833709717,synthetic_unimodal_data_length_20_skewed_gaussian,17.016,"(34.528106689453125, 31.026947021484375, 3.5011613368988037)","(24.481168746948242, 19.954282760620117, 4.5268874168396)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(35.00691604614258, 31.994449615478516, 3.0124661922454834)",5.247650146484375,synthetic_unimodal_data_length_20_skewed_gaussian,17.301,"(35.698646545410156, 32.60445785522461, 3.0941896438598633)","(23.641902923583984, 19.704524993896484, 3.937378406524658)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(36.2268180847168, 31.4992733001709, 4.727542400360107)",5.829773664474487,synthetic_unimodal_data_length_20_skewed_gaussian,17.699,"(35.628753662109375, 30.90692138671875, 4.721831798553467)","(26.335407257080078, 20.501201629638672, 5.834204196929932)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(35.53939437866211, 32.19622802734375, 3.343163251876831)",3.94046688079834,synthetic_unimodal_data_length_20_uniform,15.855,"(34.2049674987793, 30.742734909057617, 3.462233781814575)","(21.780031204223633, 17.62269401550293, 4.157336711883545)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(35.05266189575195, 30.89215660095215, 4.160502910614014)",4.5433080196380615,synthetic_unimodal_data_length_20_uniform,17.668,"(35.45522689819336, 31.209171295166016, 4.246057033538818)","(26.475366592407227, 21.396902084350586, 5.078465938568115)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(38.227508544921875, 32.18537521362305, 6.042137145996094)",4.786310911178589,synthetic_unimodal_data_length_20_uniform,18.142,"(39.62174606323242, 33.69279098510742, 5.928950786590576)","(31.619220733642578, 24.222490310668945, 7.396731853485107)",86640,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(31.5893497467041, 28.462268829345703, 3.127082109451294)",4.271937847137451,synthetic_unimodal_data_length_20_uniform,16.726,"(33.24174118041992, 30.13482093811035, 3.1069180965423584)","(22.829456329345703, 18.881391525268555, 3.9480628967285156)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(33.54285430908203, 29.901487350463867, 3.6413650512695312)",4.184122085571289,synthetic_unimodal_data_length_20_uniform,16.922,"(34.27204513549805, 30.6151123046875, 3.6569297313690186)","(24.753042221069336, 20.113069534301758, 4.6399736404418945)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(60.106109619140625, 59.957374572753906, 0.14873354136943817)",4.323240280151367,synthetic_unimodal_data_length_20_uniform,18.975,"(60.42700958251953, 60.28803253173828, 0.13897788524627686)","(60.11333084106445, 59.98268508911133, 0.1306479275226593)",86640,0,vae_hidden_size_100_batch_size_20_lr_0.0003
vae,"(34.3397216796875, 32.174110412597656, 2.165611505508423)",4.409137725830078,synthetic_unimodal_data_length_20_uniform,16.412,"(34.34309005737305, 32.20056915283203, 2.142519474029541)","(24.23781394958496, 21.1417293548584, 3.096083164215088)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(34.26276397705078, 30.92152214050293, 3.3412423133850098)",4.769893646240234,synthetic_unimodal_data_length_20_uniform,17.323,"(34.7064208984375, 31.400297164916992, 3.306124448776245)","(24.324665069580078, 19.87918472290039, 4.4454803466796875)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(34.60011291503906, 29.403610229492188, 5.196502208709717)",5.063585042953491,synthetic_unimodal_data_length_20_uniform,17.631,"(34.943416595458984, 29.84392738342285, 5.099490642547607)","(26.562597274780273, 20.46744728088379, 6.095149517059326)",172840,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(39.87186813354492, 37.37943649291992, 2.4924304485321045)",5.107590675354004,synthetic_unimodal_data_length_20_uniform,15.748,"(33.71958923339844, 31.20833396911621, 2.511255979537964)","(21.74460220336914, 18.457075119018555, 3.2875258922576904)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(33.51581573486328, 30.065967559814453, 3.449847459793091)",5.8426430225372314,synthetic_unimodal_data_length_20_uniform,16.514,"(34.32011032104492, 30.870580673217773, 3.4495301246643066)","(22.920698165893555, 18.567121505737305, 4.353577136993408)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(34.64081954956055, 29.824499130249023, 4.816321849822998)",6.053797960281372,synthetic_unimodal_data_length_20_uniform,17.287,"(36.43721389770508, 31.6762638092041, 4.760948181152344)","(25.131465911865234, 19.253311157226562, 5.878154277801514)",172840,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(44.36003112792969, 39.57589340209961, 4.784140110015869)",5.612617015838623,synthetic_unimodal_data_length_50_gaussian,41.318,"(47.60093307495117, 42.90275955200195, 4.698176860809326)","(27.17500114440918, 21.984167098999023, 5.190834045410156)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(43.82508087158203, 35.636348724365234, 8.188733100891113)",7.701673984527588,synthetic_unimodal_data_length_50_gaussian,42.924,"(49.934303283691406, 42.04030227661133, 7.894001007080078)","(31.027292251586914, 21.96858787536621, 9.058704376220703)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(52.0853157043457, 37.519622802734375, 14.565695762634277)",8.253132343292236,synthetic_unimodal_data_length_50_gaussian,45.697,"(56.79653549194336, 42.654563903808594, 14.141974449157715)","(44.58423614501953, 28.72701072692871, 15.857223510742188)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(41.81584548950195, 36.399627685546875, 5.41621732711792)",7.512000799179077,synthetic_unimodal_data_length_50_gaussian,41.439,"(49.28221893310547, 44.015438079833984, 5.266778469085693)","(32.63462448120117, 26.671924591064453, 5.96270227432251)",207240,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(47.45945358276367, 39.399166107177734, 8.060287475585938)",7.5140016078948975,synthetic_unimodal_data_length_50_gaussian,43.773,"(49.90636444091797, 42.0385627746582, 7.867800235748291)","(31.794708251953125, 22.966718673706055, 8.827990531921387)",207240,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(49.62858200073242, 37.57032775878906, 12.058255195617676)",9.068891286849976,synthetic_unimodal_data_length_50_gaussian,44.903,"(56.13358688354492, 44.2692985534668, 11.864288330078125)","(39.333091735839844, 25.918472290039062, 13.414618492126465)",207240,0,vae_hidden_size_100_batch_size_20_lr_0.0003
vae,"(48.4250602722168, 43.19558334350586, 5.2294793128967285)",7.084072828292847,synthetic_unimodal_data_length_50_gaussian,42.353,"(54.73832321166992, 49.5699348449707, 5.168388366699219)","(37.46287536621094, 31.569738388061523, 5.893136978149414)",413440,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(43.72440719604492, 36.69443130493164, 7.029976844787598)",8.505302429199219,synthetic_unimodal_data_length_50_gaussian,42.756,"(48.7158088684082, 41.860755920410156, 6.855053901672363)","(31.146451950073242, 23.32558250427246, 7.820870399475098)",413440,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(45.56434631347656, 36.63854217529297, 8.925806045532227)",11.318464040756226,synthetic_unimodal_data_length_50_gaussian,44.8,"(49.65756607055664, 40.967437744140625, 8.6901273727417)","(33.097023010253906, 23.16847038269043, 9.928552627563477)",413440,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(43.24774932861328, 38.473079681396484, 4.774672031402588)",8.241556406021118,synthetic_unimodal_data_length_50_gaussian,40.601,"(50.04768371582031, 45.35811996459961, 4.6895623207092285)","(31.590070724487305, 26.45332908630371, 5.136740684509277)",413440,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(45.19049835205078, 40.53812789916992, 4.652371883392334)",10.154307842254639,synthetic_unimodal_data_length_50_gaussian,41.425,"(48.29398727416992, 43.82170486450195, 4.472285747528076)","(25.055662155151367, 19.99155044555664, 5.064112186431885)",413440,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(47.99296188354492, 39.0625114440918, 8.930451393127441)",12.102210760116577,synthetic_unimodal_data_length_50_gaussian,43.632,"(51.032894134521484, 42.425743103027344, 8.607149124145508)","(31.44087791442871, 21.645483016967773, 9.795397758483887)",413440,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(52.1246223449707, 46.425453186035156, 5.6991729736328125)",5.62657618522644,synthetic_unimodal_data_length_50_skewed_gaussian,42.134,"(48.9693489074707, 43.25038146972656, 5.718967437744141)","(27.026641845703125, 20.65766716003418, 6.3689775466918945)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(48.42788314819336, 42.37800979614258, 6.049873352050781)",7.807174205780029,synthetic_unimodal_data_length_50_skewed_gaussian,42.596,"(48.56362533569336, 42.60211181640625, 5.961510181427002)","(25.8781681060791, 19.04007339477539, 6.838096618652344)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(56.82281494140625, 43.40000534057617, 13.422805786132812)",8.168167352676392,synthetic_unimodal_data_length_50_skewed_gaussian,45.648,"(59.46905517578125, 45.94544219970703, 13.523615837097168)","(44.60844802856445, 29.086551666259766, 15.521896362304688)",207240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(49.12900161743164, 43.8133430480957, 5.315659046173096)",6.712520599365234,synthetic_unimodal_data_length_50_skewed_gaussian,41.451,"(50.38280487060547, 45.0809440612793, 5.301862716674805)","(28.83383560180664, 22.746253967285156, 6.087581634521484)",207240,0,vae_hidden_size_100_batch_size_20_lr_0.003
