model_type,test_score,total_time,dataset,average_mismatches,valid_score,train_score,num_params,exit_code,name
vae,"(56.406410217285156, 50.9176139831543, 5.488799095153809)",10.978737592697144,synthetic_unimodal_data_length_100_gaussian,78.005,"(58.166778564453125, 52.64351272583008, 5.523268222808838)","(28.828832626342773, 23.129518508911133, 5.699314117431641)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(58.67999267578125, 48.24654006958008, 10.433451652526855)",14.383940935134888,synthetic_unimodal_data_length_100_gaussian,87.941,"(58.0885124206543, 47.581626892089844, 10.506888389587402)","(34.7738037109375, 23.744108200073242, 11.029698371887207)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(66.7016372680664, 45.607139587402344, 21.094499588012695)",15.652049779891968,synthetic_unimodal_data_length_100_gaussian,90.969,"(72.41131591796875, 51.419532775878906, 20.99178123474121)","(51.7532844543457, 29.08554458618164, 22.667743682861328)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(54.4068489074707, 47.76749801635742, 6.639347076416016)",12.593775510787964,synthetic_unimodal_data_length_100_gaussian,81.254,"(56.70115280151367, 50.027591705322266, 6.673561096191406)","(31.258880615234375, 24.304548263549805, 6.954333782196045)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(58.376197814941406, 47.346981048583984, 11.029217720031738)",16.783274173736572,synthetic_unimodal_data_length_100_gaussian,86.328,"(61.44679641723633, 50.39999008178711, 11.046809196472168)","(32.99897766113281, 21.291738510131836, 11.707239151000977)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(70.75019836425781, 49.338584899902344, 21.411609649658203)",18.04625391960144,synthetic_unimodal_data_length_100_gaussian,91.482,"(71.63540649414062, 50.23004913330078, 21.40536117553711)","(52.11577224731445, 29.33735466003418, 22.778417587280273)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.0003
vae,"(58.8766975402832, 53.1921501159668, 5.684544563293457)",13.952389478683472,synthetic_unimodal_data_length_100_gaussian,75.443,"(61.12504196166992, 55.46771240234375, 5.6573309898376465)","(28.146839141845703, 22.286128997802734, 5.8607096672058105)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(63.03693771362305, 51.027320861816406, 12.009615898132324)",15.957221746444702,synthetic_unimodal_data_length_100_gaussian,89.119,"(60.04490280151367, 48.140567779541016, 11.904336929321289)","(38.836544036865234, 25.97138786315918, 12.865155220031738)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(61.625118255615234, 47.84204864501953, 13.783068656921387)",25.340195655822754,synthetic_unimodal_data_length_100_gaussian,88.968,"(60.8148193359375, 47.019718170166016, 13.795099258422852)","(42.683773040771484, 27.90838050842285, 14.775390625)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(59.377166748046875, 53.77444076538086, 5.602728366851807)",14.31792140007019,synthetic_unimodal_data_length_100_gaussian,76.632,"(59.617431640625, 54.00800704956055, 5.6094255447387695)","(25.066686630249023, 19.30828094482422, 5.758406162261963)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.003
