model_type,test_score,total_time,dataset,average_mismatches,valid_score,train_score,num_params,exit_code,name
vae,"(39.45875930786133, 39.16001510620117, 0.2987349331378937)",15.426934480667114,synthetic_unimodal_data_length_100_gaussian,5.67,"(39.78868865966797, 39.482662200927734, 0.30602318048477173)","(36.52116394042969, 35.80773162841797, 0.713441014289856)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(39.16112518310547, 39.01034927368164, 0.15078425407409668)",19.65125346183777,synthetic_unimodal_data_length_100_gaussian,5.782,"(39.471614837646484, 39.31938171386719, 0.15224409103393555)","(36.4890251159668, 36.09037780761719, 0.39865705370903015)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(39.361846923828125, 39.257869720458984, 0.10396596044301987)",36.79055595397949,synthetic_unimodal_data_length_100_gaussian,5.507,"(39.65810012817383, 39.54773712158203, 0.11037327349185944)","(36.50764846801758, 36.250755310058594, 0.2568883001804352)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(39.323123931884766, 39.019893646240234, 0.3032365143299103)",12.772544860839844,synthetic_unimodal_data_length_100_gaussian,5.661,"(39.59053421020508, 39.301246643066406, 0.2892651855945587)","(36.4285774230957, 35.69258499145508, 0.7359949946403503)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(39.155860900878906, 38.941837310791016, 0.21402864158153534)",17.3822762966156,synthetic_unimodal_data_length_100_gaussian,5.627,"(39.49126052856445, 39.2797966003418, 0.21145868301391602)","(36.368534088134766, 35.817726135253906, 0.5508055686950684)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.001
vae,"(39.330284118652344, 39.17107391357422, 0.15920878946781158)",33.28137803077698,synthetic_unimodal_data_length_100_gaussian,5.622,"(39.599281311035156, 39.44047164916992, 0.1588079035282135)","(36.400875091552734, 35.98995590209961, 0.4109175205230713)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.0003
vae,"(39.997737884521484, 39.63236618041992, 0.36537668108940125)",14.326173067092896,synthetic_unimodal_data_length_100_gaussian,6.099,"(40.4110221862793, 40.04662322998047, 0.36438310146331787)","(37.09550094604492, 36.323673248291016, 0.7718359231948853)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.003
vae,"(39.261268615722656, 39.04073715209961, 0.22053173184394836)",17.181729078292847,synthetic_unimodal_data_length_100_gaussian,5.647,"(39.46714782714844, 39.24443435668945, 0.22271521389484406)","(36.46193313598633, 35.90756607055664, 0.5543674230575562)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.001
vae,"(39.362857818603516, 39.06566619873047, 0.29719725251197815)",29.666096448898315,synthetic_unimodal_data_length_100_gaussian,5.501,"(39.70541763305664, 39.4078254699707, 0.29758888483047485)","(36.08356857299805, 35.264488220214844, 0.819072961807251)",814440,0,vae_hidden_size_200_batch_size_10_lr_0.0003
vae,"(39.86193084716797, 39.19924545288086, 0.6626842021942139)",14.487885475158691,synthetic_unimodal_data_length_100_gaussian,5.503,"(40.134185791015625, 39.46178436279297, 0.6724111437797546)","(35.921974182128906, 34.30979919433594, 1.6121716499328613)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.003
vae,"(39.84731674194336, 38.90536117553711, 0.9419541954994202)",17.265142917633057,synthetic_unimodal_data_length_100_gaussian,5.544,"(40.28424072265625, 39.3470458984375, 0.9371897578239441)","(34.53658676147461, 32.040687561035156, 2.495896339416504)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.001
vae,"(39.295494079589844, 38.98809051513672, 0.30741459131240845)",27.626355409622192,synthetic_unimodal_data_length_100_gaussian,5.439,"(39.516143798828125, 39.21133804321289, 0.30478477478027344)","(35.81599807739258, 34.90946578979492, 0.9065271019935608)",814440,0,vae_hidden_size_200_batch_size_20_lr_0.0003
vae,"(36.9610481262207, 36.645816802978516, 0.315231591463089)",14.884972095489502,synthetic_unimodal_data_length_100_skewed_gaussian,5.122,"(36.68040466308594, 36.363861083984375, 0.31655770540237427)","(33.846797943115234, 33.086181640625, 0.7606261372566223)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.003
vae,"(36.600669860839844, 36.4581184387207, 0.14254604279994965)",20.8221755027771,synthetic_unimodal_data_length_100_skewed_gaussian,5.053,"(36.35088348388672, 36.20940399169922, 0.14148131012916565)","(33.91124725341797, 33.56279373168945, 0.34845083951950073)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.001
vae,"(36.782432556152344, 36.698638916015625, 0.08379201591014862)",38.68586015701294,synthetic_unimodal_data_length_100_skewed_gaussian,5.205,"(36.515647888183594, 36.4343147277832, 0.08132156729698181)","(33.96339797973633, 33.768226623535156, 0.1951676309108734)",408240,0,vae_hidden_size_100_batch_size_10_lr_0.0003
vae,"(36.60530090332031, 36.46498489379883, 0.14031031727790833)",12.52744436264038,synthetic_unimodal_data_length_100_skewed_gaussian,5.314,"(36.36986541748047, 36.233642578125, 0.13622216880321503)","(34.19662094116211, 33.915653228759766, 0.28096696734428406)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.003
vae,"(36.47758102416992, 36.37152862548828, 0.10605009645223618)",16.454787731170654,synthetic_unimodal_data_length_100_skewed_gaussian,5.153,"(36.25579071044922, 36.14877700805664, 0.10701319575309753)","(33.836151123046875, 33.56602096557617, 0.27012699842453003)",408240,0,vae_hidden_size_100_batch_size_20_lr_0.001
